"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 22 02:00:41 GMT 2023","Wed Nov 22 02:00:41 GMT 2023","317","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDefaultText","[Location] Verify default text on Location button","Test cases: 571"
"skipped","Wed Nov 22 02:03:10 GMT 2023","Wed Nov 22 02:03:10 GMT 2023","0","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchSessionDisplayed","[Careers][Search] Verify that the Search section displays as the design","Test cases: 664"
"broken","Wed Nov 22 02:04:28 GMT 2023","Wed Nov 22 02:04:58 GMT 2023","30001","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"passed","Wed Nov 22 02:00:29 GMT 2023","Wed Nov 22 02:00:32 GMT 2023","3236","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyMainNavigationAlwaysAvailable","[Main Navigation] Verify Main Navigation menu items","Test cases: 580, 586"
"passed","Wed Nov 22 02:00:27 GMT 2023","Wed Nov 22 02:00:28 GMT 2023","487","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLabelDisplayed","[Main Navigation] Verify showing label of menu item when hovering over","Test cases: 584"
"passed","Wed Nov 22 02:01:34 GMT 2023","Wed Nov 22 02:01:35 GMT 2023","1321","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"broken","Wed Nov 22 02:03:57 GMT 2023","Wed Nov 22 02:04:27 GMT 2023","30000","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"broken","Wed Nov 22 02:01:01 GMT 2023","Wed Nov 22 02:01:31 GMT 2023","30002","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","[Location] Verify the display of Location button","Test cases: 577"
"skipped","Wed Nov 22 02:05:10 GMT 2023","Wed Nov 22 02:05:10 GMT 2023","1","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithFilterSearching","[Careers][Search] Verify that user is able to add the filter in searching","Test cases: 672"
"passed","Wed Nov 22 02:01:31 GMT 2023","Wed Nov 22 02:01:32 GMT 2023","1527","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifyNoResultMessage","[Careers][Search] Verify the message if there is no search result","Test cases: 673"
"broken","Wed Nov 22 02:05:40 GMT 2023","Wed Nov 22 02:05:40 GMT 2023","0","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","beforeMethod","beforeMethod",""
"passed","Wed Nov 22 02:00:50 GMT 2023","Wed Nov 22 02:00:53 GMT 2023","2392","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","[Location] Verify the display of Location button","Test cases: 577"
