"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 04:16:08 GMT 2023","Mon Jun 12 04:16:25 GMT 2023","17222","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifyNoResultMessage","verifyNoResultMessage","Test case 673"
"broken","Mon Jun 12 04:18:47 GMT 2023","Mon Jun 12 04:19:17 GMT 2023","30062","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithLocation","verifySearchWithLocation","Test case 669"
"passed","Mon Jun 12 04:16:37 GMT 2023","Mon Jun 12 04:16:42 GMT 2023","4894","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"passed","Mon Jun 12 04:16:58 GMT 2023","Mon Jun 12 04:17:12 GMT 2023","14312","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchMatchingWithSkill","verifySearchMatchingWithSkill","Test case 670 + 677"
"broken","Mon Jun 12 04:17:47 GMT 2023","Mon Jun 12 04:18:17 GMT 2023","30207","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithFilterSearching","verifySearchWithFilterSearching","Test case 672"
"broken","Mon Jun 12 04:18:46 GMT 2023","Mon Jun 12 04:19:16 GMT 2023","30002","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"broken","Mon Jun 12 04:17:46 GMT 2023","Mon Jun 12 04:18:16 GMT 2023","30003","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"broken","Mon Jun 12 04:18:16 GMT 2023","Mon Jun 12 04:18:46 GMT 2023","30000","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"passed","Mon Jun 12 04:16:08 GMT 2023","Mon Jun 12 04:16:13 GMT 2023","5593","EPAM site","Chrome - Web UI","com.epam.tests.ContactUsTest","com.epam.tests.ContactUsTest","verifyContactUsDisplayed","verifyContactUsDisplayed","Test case 592 + 595 + 594 "
"passed","Mon Jun 12 04:17:39 GMT 2023","Mon Jun 12 04:17:46 GMT 2023","6807","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithFilterSearching","verifySearchWithFilterSearching","Test case 672"
"passed","Mon Jun 12 04:16:25 GMT 2023","Mon Jun 12 04:16:30 GMT 2023","4526","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"passed","Mon Jun 12 04:16:37 GMT 2023","Mon Jun 12 04:16:41 GMT 2023","4157","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"passed","Mon Jun 12 04:16:56 GMT 2023","Mon Jun 12 04:17:00 GMT 2023","4050","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"passed","Mon Jun 12 04:16:22 GMT 2023","Mon Jun 12 04:16:26 GMT 2023","3937","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"passed","Mon Jun 12 04:16:20 GMT 2023","Mon Jun 12 04:16:24 GMT 2023","4021","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"passed","Mon Jun 12 04:17:17 GMT 2023","Mon Jun 12 04:17:20 GMT 2023","3173","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"passed","Mon Jun 12 04:16:08 GMT 2023","Mon Jun 12 04:16:14 GMT 2023","6339","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyColorChangeOfMainNavigation","verifyColorChangeOfMainNavigation","Test case 585"
"passed","Mon Jun 12 04:17:40 GMT 2023","Mon Jun 12 04:17:45 GMT 2023","4401","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"passed","Mon Jun 12 04:16:18 GMT 2023","Mon Jun 12 04:16:19 GMT 2023","537","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDefaultText","verifyLocationDefaultText","Test case 571"
