"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 19 02:19:47 GMT 2023","Mon Jun 19 02:19:49 GMT 2023","1523","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"broken","Mon Jun 19 02:22:20 GMT 2023","Mon Jun 19 02:22:50 GMT 2023","30001","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"skipped","Mon Jun 19 02:19:55 GMT 2023","Mon Jun 19 02:19:55 GMT 2023","1","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithFilterSearching","verifySearchWithFilterSearching","Test case 672"
"passed","Mon Jun 19 02:19:28 GMT 2023","Mon Jun 19 02:19:31 GMT 2023","2759","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"skipped","Mon Jun 19 02:19:21 GMT 2023","Mon Jun 19 02:19:21 GMT 2023","0","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchSessionDisplayed","verifySearchSessionDisplayed","Test case 664"
"passed","Mon Jun 19 02:18:17 GMT 2023","Mon Jun 19 02:18:19 GMT 2023","2232","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"broken","Mon Jun 19 02:20:19 GMT 2023","Mon Jun 19 02:20:49 GMT 2023","30002","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"passed","Mon Jun 19 02:19:17 GMT 2023","Mon Jun 19 02:19:19 GMT 2023","2035","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"skipped","Mon Jun 19 02:20:26 GMT 2023","Mon Jun 19 02:20:26 GMT 2023","0","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithFilterSearching","verifySearchWithFilterSearching","Test case 672"
"passed","Mon Jun 19 02:18:08 GMT 2023","Mon Jun 19 02:18:09 GMT 2023","1238","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLabelDisplayed","verifyLabelDisplayed","Test case 584"
