"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 16 02:02:24 GMT 2023","Thu Nov 16 02:02:24 GMT 2023","1","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","beforeMethod","beforeMethod",""
"passed","Thu Nov 16 01:58:06 GMT 2023","Thu Nov 16 01:58:07 GMT 2023","748","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyAllLocationAreDisplayed","[Location] Verify all required location are listed out","Test cases: 573"
"passed","Thu Nov 16 01:58:20 GMT 2023","Thu Nov 16 01:58:23 GMT 2023","2902","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","[Location] Verify the display of Location button","Test cases: 577"
"broken","Thu Nov 16 02:01:19 GMT 2023","Thu Nov 16 02:01:49 GMT 2023","30002","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLabelDisplayed","[Main Navigation] Verify showing label of menu item when hovering over","Test cases: 584"
"broken","Thu Nov 16 02:00:12 GMT 2023","Thu Nov 16 02:00:42 GMT 2023","30002","EPAM site","Chrome - Web UI","com.epam.tests.ContactUsTest","com.epam.tests.ContactUsTest","verifyContactPageDisplayed","[Contact Us] Verify Contact Us page displayed","Test cases: 643"
"passed","Thu Nov 16 02:00:42 GMT 2023","Thu Nov 16 02:00:43 GMT 2023","101","EPAM site","Chrome - Web UI","com.epam.tests.ContactUsTest","com.epam.tests.ContactUsTest","verifyContactUsDisplayed","[Header] Verify Contract Us link","Test cases: 592, 5954, 595"
"skipped","Thu Nov 16 01:58:52 GMT 2023","Thu Nov 16 01:58:52 GMT 2023","1","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchMatchingWithSkill","[Careers][Search] Verify that the user is able to search the jobs matching the selected skills","Test cases: 670, 677"
"passed","Thu Nov 16 01:58:25 GMT 2023","Thu Nov 16 01:58:28 GMT 2023","3217","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","[Location] Verify the display of Location button","Test cases: 577"
"passed","Thu Nov 16 01:58:16 GMT 2023","Thu Nov 16 01:58:18 GMT 2023","2483","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchJobOfAllCountryAndSkill","[Careers][Search] Verify that user is able to search the jobs of all countries and skills","Test cases: 666"
"skipped","Thu Nov 16 02:01:23 GMT 2023","Thu Nov 16 02:01:23 GMT 2023","0","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithFilterSearching","[Careers][Search] Verify that user is able to add the filter in searching","Test cases: 672"
"failed","Thu Nov 16 01:59:47 GMT 2023","Thu Nov 16 01:59:50 GMT 2023","2268","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"skipped","Thu Nov 16 02:01:54 GMT 2023","Thu Nov 16 02:01:54 GMT 2023","1","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithFilterSearching","[Careers][Search] Verify that user is able to add the filter in searching","Test cases: 672"
"failed","Thu Nov 16 02:00:06 GMT 2023","Thu Nov 16 02:00:09 GMT 2023","3284","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"broken","Thu Nov 16 02:01:49 GMT 2023","Thu Nov 16 02:02:19 GMT 2023","30001","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyMainNavigationAlwaysAvailable","[Main Navigation] Verify Main Navigation menu items","Test cases: 580, 586"
"passed","Thu Nov 16 01:59:35 GMT 2023","Thu Nov 16 01:59:38 GMT 2023","2964","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"broken","Thu Nov 16 02:00:43 GMT 2023","Thu Nov 16 02:01:13 GMT 2023","30001","EPAM site","Chrome - Web UI","com.epam.tests.ContactUsTest","com.epam.tests.ContactUsTest","verifyContentOfContactUs","[Contact Us] Verify Contact Us page content","Test cases: 639, 642"
"skipped","Thu Nov 16 02:00:53 GMT 2023","Thu Nov 16 02:00:53 GMT 2023","0","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithFilterSearching","[Careers][Search] Verify that user is able to add the filter in searching","Test cases: 672"
"failed","Thu Nov 16 01:59:55 GMT 2023","Thu Nov 16 01:59:58 GMT 2023","2816","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"skipped","Thu Nov 16 01:59:53 GMT 2023","Thu Nov 16 01:59:53 GMT 2023","0","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchSessionDisplayed","[Careers][Search] Verify that the Search section displays as the design","Test cases: 664"
"broken","Thu Nov 16 01:58:29 GMT 2023","Thu Nov 16 01:58:59 GMT 2023","30002","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifyLocationDisplayedOnAnyPages","[Location] Verify the display of Location button","Test cases: 577"
"failed","Thu Nov 16 01:59:51 GMT 2023","Thu Nov 16 01:59:54 GMT 2023","3050","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"failed","Thu Nov 16 02:02:19 GMT 2023","Thu Nov 16 02:02:24 GMT 2023","5001","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyMainNavigationDisplay","[Main Navigation] Verify the display of Main Navigation","Test cases: 542"
"passed","Thu Nov 16 01:59:43 GMT 2023","Thu Nov 16 01:59:46 GMT 2023","2980","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","[Location] Verify the corresponding navigation link","Test cases: 575, 579"
"passed","Thu Nov 16 01:58:10 GMT 2023","Thu Nov 16 01:58:11 GMT 2023","1194","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifyNoResultMessage","[Careers][Search] Verify the message if there is no search result","Test cases: 673"
