"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 20 02:12:46 GMT 2023","Tue Jun 20 02:12:49 GMT 2023","2841","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"broken","Tue Jun 20 02:15:20 GMT 2023","Tue Jun 20 02:15:50 GMT 2023","30002","EPAM site (0)","Smoke","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyMainNavigationAlwaysAvailable","verifyMainNavigationAlwaysAvailable","Test case 586 + 580"
"skipped","Tue Jun 20 02:12:09 GMT 2023","Tue Jun 20 02:12:09 GMT 2023","1","EPAM site","Chrome - Web UI","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchMatchingWithSkill","verifySearchMatchingWithSkill","Test case 670 + 677"
"passed","Tue Jun 20 02:12:51 GMT 2023","Tue Jun 20 02:12:54 GMT 2023","2692","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"passed","Tue Jun 20 02:12:42 GMT 2023","Tue Jun 20 02:12:44 GMT 2023","2428","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"passed","Tue Jun 20 02:11:17 GMT 2023","Tue Jun 20 02:11:18 GMT 2023","1119","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLabelDisplayed","verifyLabelDisplayed","Test case 584"
"broken","Tue Jun 20 02:15:25 GMT 2023","Tue Jun 20 02:15:55 GMT 2023","30002","EPAM site (0)","Smoke","com.epam.tests.ContactUsTest","com.epam.tests.ContactUsTest","verifyContentOfContactUs","verifyContentOfContactUs","Test case 639 + 642"
"passed","Tue Jun 20 02:12:56 GMT 2023","Tue Jun 20 02:13:00 GMT 2023","3871","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"broken","Tue Jun 20 02:14:39 GMT 2023","Tue Jun 20 02:15:09 GMT 2023","30002","EPAM site","Chrome - Web UI","com.epam.tests.HeaderLocationTest","com.epam.tests.HeaderLocationTest","verifySwitchLocation","verifySwitchLocation","Test case 575 + 579"
"passed","Tue Jun 20 02:11:21 GMT 2023","Tue Jun 20 02:11:23 GMT 2023","2574","EPAM site","Chrome - Web UI","com.epam.tests.HeaderMainNavigationTest","com.epam.tests.HeaderMainNavigationTest","verifyLocationDisplayedOnAnyPages","verifyLocationDisplayedOnAnyPages","Test case 577"
"skipped","Tue Jun 20 02:15:50 GMT 2023","Tue Jun 20 02:15:50 GMT 2023","1","EPAM site (0)","Smoke","com.epam.tests.SearchTest","com.epam.tests.SearchTest","verifySearchWithCombination","verifySearchWithCombination","Test case 671"
